iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,563,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"RPM","RPM INTERNATIONAL INC","EQUITY","Materials","Equity","498,219,051.84","498,219,051.84","4,145,952.00","120.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.45","0.45"
"PFGC","PERFORMANCE FOOD GROUP","EQUITY","Consumer Staples","Equity","496,914,096.00","496,914,096.00","5,070,552.00","98.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.45","0.45"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","EQUITY","Information Technology","Equity","494,926,780.90","494,926,780.90","2,070,910.00","238.99","United States","NASDAQ","USD","1.00","USD","-","0.45","0.45"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","STIF","Cash and/or Derivatives","Money Market","487,823,034.13","156,868,931.07","487,823,034.00","1.00","United States","-","USD","1.00","USD","-","0.14","0.44"
"BLD","TOPBUILD CORP","EQUITY","Consumer Discretionary","Equity","484,944,086.31","484,944,086.31","902,507.00","537.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.44","0.44"
"SATS","ECHOSTAR CORP CLASS A","EQUITY","Communication","Equity","481,022,844.54","481,022,844.54","4,352,754.00","110.51","United States","NASDAQ","USD","1.00","USD","-","0.43","0.44"
"RGA","REINSURANCE GROUP OF AMERICA INC","EQUITY","Financials","Equity","476,913,004.88","476,913,004.88","2,124,902.00","224.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.43","0.43"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","EQUITY","Industrials","Equity","475,240,595.90","475,240,595.90","5,459,398.00","87.05","United States","NASDAQ","USD","1.00","USD","-","0.43","0.43"
"FNF","FIDELITY NATIONAL FINANCIAL INC","EQUITY","Financials","Equity","469,720,812.00","469,720,812.00","8,240,716.00","57.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.43"
"WSO","WATSCO INC","EQUITY","Industrials","Equity","468,717,797.50","468,717,797.50","1,129,250.00","415.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"WCC","WESCO INTERNATIONAL INC","EQUITY","Industrials","Equity","465,148,577.19","465,148,577.19","1,572,989.00","295.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"RNR","RENAISSANCERE HOLDING LTD","EQUITY","Financials","Equity","463,564,025.10","463,564,025.10","1,491,039.00","310.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"OKTA","OKTA INC CLASS A","EQUITY","Information Technology","Equity","462,517,506.50","462,517,506.50","5,447,150.00","84.91","United States","NASDAQ","USD","1.00","USD","-","0.42","0.42"
"BWA","BORGWARNER INC","EQUITY","Consumer Discretionary","Equity","460,349,110.10","460,349,110.10","6,917,342.00","66.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","EQUITY","Financials","Equity","460,183,045.52","460,183,045.52","4,837,921.00","95.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
"RRX","REGAL REXNORD CORP","EQUITY","Industrials","Equity","458,499,020.56","458,499,020.56","2,146,732.00","213.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.41","0.42"
"CG","CARLYLE GROUP INC","EQUITY","Financials","Equity","456,878,515.50","456,878,515.50","8,390,790.00","54.45","United States","NASDAQ","USD","1.00","USD","-","0.41","0.41"
"HL","HECLA MINING","EQUITY","Materials","Equity","452,638,127.66","452,638,127.66","21,667,694.00","20.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.41","0.41"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","EQUITY","Real Estate","Equity","449,508,501.12","449,508,501.12","9,555,878.00","47.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.41","0.41"
"TRU","TRANSUNION","EQUITY","Industrials","Equity","444,654,369.02","444,654,369.02","6,279,542.00","70.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"LSCC","LATTICE SEMICONDUCTOR CORP","EQUITY","Information Technology","Equity","441,383,505.09","441,383,505.09","4,422,902.00","99.80","United States","NASDAQ","USD","1.00","USD","-","0.40","0.40"
"CLH","CLEAN HARBORS INC","EQUITY","Industrials","Equity","433,478,121.51","433,478,121.51","1,624,061.00","266.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"DTM","DT MIDSTREAM INC","EQUITY","Energy","Equity","432,355,563.75","432,355,563.75","3,287,625.00","131.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"PEN","PENUMBRA INC","EQUITY","Health Care","Equity","428,905,216.16","428,905,216.16","1,266,253.00","338.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"STRL","STERLING INFRASTRUCTURE INC","EQUITY","Industrials","Equity","428,541,576.15","428,541,576.15","993,305.00","431.43","United States","NASDAQ","USD","1.00","USD","-","0.39","0.39"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","EQUITY","Consumer Staples","Equity","428,411,142.24","428,411,142.24","4,260,254.00","100.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"JLL","JONES LANG LASALLE INC","EQUITY","Real Estate","Equity","427,547,133.12","427,547,133.12","1,526,082.00","280.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"MLI","MUELLER INDUSTRIES INC","EQUITY","Industrials","Equity","426,629,189.40","426,629,189.40","3,589,644.00","118.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"DKS","DICKS SPORTING INC","EQUITY","Consumer Discretionary","Equity","426,046,500.00","426,046,500.00","2,137,500.00","199.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
